combination stat_dogfight
kill ams
kill ant
kill apc
kill aphelion_flight
kill aphelion_gunner
kill aurora
kill battlewagon
kill colossus_flight
kill colossus_gunner
kill dropship
kill flail
kill fury
kill galaxy_gunship
kill liberator
kill lightgunship
kill lightning
kill lodestar
kill magrider
kill mediumtransport
kill mosquito
kill peregrine_flight
kill peregrine_gunner
kill phantasm
kill prowler
kill quadassault
kill quadstealth
kill router
kill skyguard
kill switchblade
kill threemanheavybuggy
kill thunderer
kill two_man_assault_buggy
kill twomanheavybuggy
kill twomanhoverbuggy
kill vanguard
kill vulture
kill wasp
